model,axis,level_i,level_j,p_value,significant_p05
Qwen 2.5 3B,Social Orientation,4,1,0.65,NO
Qwen 2.5 3B,Social Orientation,4,2,0.4219,NO
Qwen 2.5 3B,Social Orientation,4,3,0.0086,YES
Qwen 2.5 3B,Social Orientation,4,4,,NO
Qwen 2.5 3B,Social Orientation,4,5,0.873,NO
Qwen 2.5 3B,Social Orientation,5,1,0.6281,NO
Qwen 2.5 3B,Social Orientation,5,2,0.4524,NO
Qwen 2.5 3B,Social Orientation,5,3,0.0413,YES
Qwen 2.5 3B,Social Orientation,5,4,0.873,NO
Qwen 2.5 3B,Social Orientation,5,5,,NO
Qwen 2.5 3B,Temporal Orientation,1,1,,NO
Qwen 2.5 3B,Temporal Orientation,1,2,0.2466,NO
Qwen 2.5 3B,Temporal Orientation,1,3,0.5,NO
Qwen 2.5 3B,Temporal Orientation,1,4,0.4484,NO
Qwen 2.5 3B,Temporal Orientation,1,5,0.8916,NO
Qwen 2.5 3B,Temporal Orientation,2,1,0.2466,NO
Qwen 2.5 3B,Temporal Orientation,2,2,,NO
Qwen 2.5 3B,Temporal Orientation,2,3,0.4136,NO
Qwen 2.5 3B,Temporal Orientation,2,4,0.5499,NO
Qwen 2.5 3B,Temporal Orientation,2,5,0.1837,NO
Qwen 2.5 3B,Temporal Orientation,3,1,0.5,NO
Qwen 2.5 3B,Temporal Orientation,3,2,0.4136,NO
Qwen 2.5 3B,Temporal Orientation,3,3,,NO
Qwen 2.5 3B,Temporal Orientation,3,4,0.847,NO
Qwen 2.5 3B,Temporal Orientation,3,5,0.3878,NO
Qwen 2.5 3B,Temporal Orientation,4,1,0.4484,NO
Qwen 2.5 3B,Temporal Orientation,4,2,0.5499,NO
Qwen 2.5 3B,Temporal Orientation,4,3,0.847,NO
Qwen 2.5 3B,Temporal Orientation,4,4,,NO
Qwen 2.5 3B,Temporal Orientation,4,5,0.349,NO
Qwen 2.5 3B,Temporal Orientation,5,1,0.8916,NO
Qwen 2.5 3B,Temporal Orientation,5,2,0.1837,NO
Qwen 2.5 3B,Temporal Orientation,5,3,0.3878,NO
Qwen 2.5 3B,Temporal Orientation,5,4,0.349,NO
Qwen 2.5 3B,Temporal Orientation,5,5,,NO
Llama 3.2 3B,Political Order,1,1,,NO
Llama 3.2 3B,Political Order,1,2,0.0323,YES
Llama 3.2 3B,Political Order,1,3,0.1675,NO
Llama 3.2 3B,Political Order,1,4,0.0002,YES
Llama 3.2 3B,Political Order,2,1,0.0323,YES
Llama 3.2 3B,Political Order,2,2,,NO
Llama 3.2 3B,Political Order,2,3,0.2711,NO
Llama 3.2 3B,Political Order,2,4,0.0,YES
Llama 3.2 3B,Political Order,3,1,0.1675,NO
Llama 3.2 3B,Political Order,3,2,0.2711,NO
Llama 3.2 3B,Political Order,3,3,,NO
Llama 3.2 3B,Political Order,3,4,0.0,YES
Llama 3.2 3B,Political Order,4,1,0.0002,YES
Llama 3.2 3B,Political Order,4,2,0.0,YES
Llama 3.2 3B,Political Order,4,3,0.0,YES
Llama 3.2 3B,Political Order,4,4,,NO
Llama 3.2 3B,Social Orientation,1,1,,NO
Llama 3.2 3B,Social Orientation,1,2,0.1094,NO
Llama 3.2 3B,Social Orientation,1,3,0.0277,YES
Llama 3.2 3B,Social Orientation,1,4,0.4558,NO
Llama 3.2 3B,Social Orientation,1,5,0.0012,YES
Llama 3.2 3B,Social Orientation,2,1,0.1094,NO
Llama 3.2 3B,Social Orientation,2,2,,NO
Llama 3.2 3B,Social Orientation,2,3,0.7017,NO
Llama 3.2 3B,Social Orientation,2,4,0.0115,YES
Llama 3.2 3B,Social Orientation,2,5,0.0,YES
Llama 3.2 3B,Social Orientation,3,1,0.0277,YES
Llama 3.2 3B,Social Orientation,3,2,0.7017,NO
Llama 3.2 3B,Social Orientation,3,3,,NO
Llama 3.2 3B,Social Orientation,3,4,0.0008,YES
Llama 3.2 3B,Social Orientation,3,5,0.0,YES
Llama 3.2 3B,Social Orientation,4,1,0.4558,NO
Llama 3.2 3B,Social Orientation,4,2,0.0115,YES
Llama 3.2 3B,Social Orientation,4,3,0.0008,YES
Llama 3.2 3B,Social Orientation,4,4,,NO
Llama 3.2 3B,Social Orientation,4,5,0.0026,YES
Llama 3.2 3B,Social Orientation,5,1,0.0012,YES
Llama 3.2 3B,Social Orientation,5,2,0.0,YES
Llama 3.2 3B,Social Orientation,5,3,0.0,YES
Llama 3.2 3B,Social Orientation,5,4,0.0026,YES
Llama 3.2 3B,Social Orientation,5,5,,NO
Llama 3.2 3B,Temporal Orientation,1,1,,NO
Llama 3.2 3B,Temporal Orientation,1,2,0.1738,NO
Llama 3.2 3B,Temporal Orientation,1,3,0.0876,NO
Llama 3.2 3B,Temporal Orientation,1,4,0.6897,NO
Llama 3.2 3B,Temporal Orientation,1,5,0.0103,YES
Llama 3.2 3B,Temporal Orientation,2,1,0.1738,NO
Llama 3.2 3B,Temporal Orientation,2,2,,NO
Llama 3.2 3B,Temporal Orientation,2,3,0.8963,NO
Llama 3.2 3B,Temporal Orientation,2,4,0.1927,NO
Llama 3.2 3B,Temporal Orientation,2,5,0.0001,YES
Llama 3.2 3B,Temporal Orientation,3,1,0.0876,NO
Llama 3.2 3B,Temporal Orientation,3,2,0.8963,NO
Llama 3.2 3B,Temporal Orientation,3,3,,NO
Llama 3.2 3B,Temporal Orientation,3,4,0.0686,NO
Llama 3.2 3B,Temporal Orientation,3,5,0.0,YES
Llama 3.2 3B,Temporal Orientation,4,1,0.6897,NO
Llama 3.2 3B,Temporal Orientation,4,2,0.1927,NO
Llama 3.2 3B,Temporal Orientation,4,3,0.0686,NO
Llama 3.2 3B,Temporal Orientation,4,4,,NO
Llama 3.2 3B,Temporal Orientation,4,5,0.0006,YES
Llama 3.2 3B,Temporal Orientation,5,1,0.0103,YES
Llama 3.2 3B,Temporal Orientation,5,2,0.0001,YES
Llama 3.2 3B,Temporal Orientation,5,3,0.0,YES
Llama 3.2 3B,Temporal Orientation,5,4,0.0006,YES
Llama 3.2 3B,Temporal Orientation,5,5,,NO
